,start_station_name,end_station_name,count,index_x,lat_x,lng_x,index_y,lat_y,lng_y
134,Columbus Dr at Exchange Pl,14 St Ferry - 14 St & Shipyard Ln,6.0,Columbus Dr at Exchange Pl,40.71687448913104,-74.03282962516803,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
135,Columbus Drive,14 St Ferry - 14 St & Shipyard Ln,8.0,Columbus Drive,40.718414308152724,-74.03889053483775,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
136,Columbus Park - Clinton St & 9 St,14 St Ferry - 14 St & Shipyard Ln,80.0,Columbus Park - Clinton St & 9 St,40.748178812964326,-74.03245770266106,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
137,Dixon Mills,14 St Ferry - 14 St & Shipyard Ln,1.0,Dixon Mills,40.721632342323566,-74.04998467723249,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
138,Grand St,14 St Ferry - 14 St & Shipyard Ln,17.0,Grand St,40.71515821580811,-74.03768259947958,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
139,Grand St & 14 St,14 St Ferry - 14 St & Shipyard Ln,48.0,Grand St & 14 St,40.7540790923323,-74.03159436971573,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
140,Grove St PATH,14 St Ferry - 14 St & Shipyard Ln,1.0,Grove St PATH,40.71960099717589,-74.04314261412735,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
141,Hamilton Park,14 St Ferry - 14 St & Shipyard Ln,15.0,Hamilton Park,40.72757525453402,-74.04424621144935,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
142,Harborside,14 St Ferry - 14 St & Shipyard Ln,9.0,Harborside,40.719258962545155,-74.03423038123101,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
143,Heights Elevator,14 St Ferry - 14 St & Shipyard Ln,10.0,Heights Elevator,40.74873175053401,-74.04046738441166,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
144,Hilltop,14 St Ferry - 14 St & Shipyard Ln,4.0,Hilltop,40.731153329839415,-74.05754064420803,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
145,Hoboken Ave at Monmouth St,14 St Ferry - 14 St & Shipyard Ln,25.0,Hoboken Ave at Monmouth St,40.73522741244787,-74.04694300708235,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
146,Hoboken Terminal - Hudson St & Hudson Pl,14 St Ferry - 14 St & Shipyard Ln,43.0,Hoboken Terminal - Hudson St & Hudson Pl,40.73593737788959,-74.03032257184493,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
147,Hoboken Terminal - River St & Hudson Pl,14 St Ferry - 14 St & Shipyard Ln,280.0,Hoboken Terminal - River St & Hudson Pl,40.73608642790891,-74.02913390169225,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
148,Hudson St & 4 St,14 St Ferry - 14 St & Shipyard Ln,178.0,Hudson St & 4 St,40.740954266970824,-74.02859404962996,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
149,JC Medical Center,14 St Ferry - 14 St & Shipyard Ln,3.0,JC Medical Center,40.716536226401026,-74.04961717509839,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
150,Jersey & 3rd,14 St Ferry - 14 St & Shipyard Ln,1.0,Jersey & 3rd,40.72331733868367,-74.04594517066816,14 St Ferry - 14 St & Shipyard Ln,40.752916153031606,-74.02431191844445
